Health,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Section 1: Keywords,,,,Section 2: Keyword Variation,,,,,,,,,,,,,,,,,,,,,,
Language,High-risk key words,,,,Range of possible misspellings and common slang used by the population,,,,,,,,,,,,,,,,,,,,,,
"Please insert translation of each word under each corresponding cell. If the particular word does not translate into the chosen language, please leave it blank",,,,,,,,,,,,,,,,,,,,,,,,,,,
English ,vomit ,vomitted,vomitting ,,yak,vomited,womit,,,,,,,,,,,,,,,,,,,,
West African French,vomi ,vomi ,vomir ,,vomire,vmir,vom,,,,,,,,,,,,,,,,,,,,
English ,puke,puking ,puked,,pook,pukeing,pooking,,,,,,,,,,,,,,,,,,,,
West African French,vomir,vomir,vomi,,vom,vommir,vmi,,,,,,,,,,,,,,,,,,,,
English ,disease ,STD ,diseases,,diseaze,dizeese,SDT,,,,,,,,,,,,,,,,,,,,
West African French,maladie,MST,maladies,,maladi,SMT,malad,malady,mldie,,,,,,,,,,,,,,,,,,
English ,sick ,sickness,sickly,,sik,seck,seek,,,,,,,,,,,,,,,,,,,,
West African French,malade,maladie,maladif,,malad ,maladdi,maladife,maladei,,,,,,,,,,,,,,,,,,,
English ,ill,illness,illnesses,,illl,illniss,illnees,,,,,,,,,,,,,,,,,,,,
West African French,malade,maladie,maladies,,malad,maladdie,malladi,,,,,,,,,,,,,,,,,,,,
English ,health ,healthy,,,haelth,healthy,helath,,,,,,,,,,,,,,,,,,,,
West African French,santé,sain,,,sante,sin,sein,senter,senté,,ssante,,,,,,,,,,,,,,,,
English ,hospital , clinic,,,hopital,hopsital,celinic,,,,,,,,,,,,,,,,,,,,
West African French,hôpital,clinique,,,opital,klinik,klinic,clinik,clenik,,klenik,,,,,,,,,,,,,,,,
English ,miscarriage ,miscarry,,,miscariage,miscarig,,,,,,,,,,,,,,,,,,,,,
West African French,fausse couche,faire une fausse couche,,,faus couch,fos couche,fosse couche,foss kouch,fau couche,,fasse coush,,,,,,,,,,,,,,,,
English ,pregnant ,pregnancy ,expecting,,pegant,preganci,prengant,,,,,,,,,,,,,,,,,,,,
West African French,enceinte,grossesse,enceinte,,enseinte,ensint,anceinte,encinte,ensinte,ancint,ansint,,,,,,,,,,,,,,,,
English ,abortion ,abort ,aborted ,aborting,abbortion,obortion,,,,,,,,,,,,,,,,,,,,,
West African French,avortement,avorter,avorté,,avort,avorte,avortemen,avortte,avoter,,,,,,,,,,,,,,,,,,
English ,COVID,COVID19,,,,,,,,,,,,,,,,,,,,,,,,,
West African French,COVID,COVID19,,,COV,COV19,Covide,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
