Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Section 1: Keywords,,,,Section 2: Keyword Variation,,,,,,,,,,,,,,,,,,,,,,,
Language,High-risk key words,,,,Range of possible misspellings and common slang used by the population,,,,,,,,,,,,,,,,,,,,,,,
"Please insert translation of each word under each corresponding cell. If the particular word does not translate into the chosen language, please leave it blank",,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,anxiety,anxious ,anxiousness,,angziaty,anxieti,anxeity,,,,,,,,,,,,,,,,,,,,,
West African French,anxiété,anxieux,anxiété,,anxeite,anxieu,anxie,anxiete,,,,,,,,,,,,,,,,,,,,
English,depression,depressive,depressed,,despression,despressive,despressed,,,,,,,,,,,,,,,,,,,,,
West African French,dépression,dépressif,déprimé,,despression,despressif,deprim,dprime,depprime,deprecif,deprime,depressif,,,,,,,,,,,,,,,,
English,disorder,disorders,,,dizorder,dissorder,isorder,,,,,,,,,,,,,,,,,,,,,
West African French,trouble,troubles,,,trubl,trubbles,troubl,touble,troubble,,,,,,,,,,,,,,,,,,,
English,therapy ,,,,therapi,therepy,therepi,,,,,,,,,,,,,,,,,,,,,
West African French,thérapie,,,,terapi,terapie,terrapi,terrapie,terap,,,,,,,,,,,,,,,,,,,
English,psychologist,,,,sychology,psichology,,,,,,,,,,,,,,,,,,,,,,
West African French,psychologue,,,,sycologue,sicologue,psikolog,psicologue,sikologue,,,,,,,,,,,,,,,,,,,
English,suicide ,suicidal ,suicides,,suicido,suiced,,,,,,,,,,,,,,,,,,,,,,
West African French,suicide ,suicidaire,suicides,,sucid,ssuicid,suisidaire,suside,sucider,sucidere,,,,,,,,,,,,,,,,,,
English,stress,stressed,,,stresss,strees,srtess,stres,,,,,,,,,,,,,,,,,,,,
West African French,stress,stressé,,stressée,stresss,strees,srtess,stres,stresser,strssé,stressee,stresse,strs,,,,,,,,,,,,,,,
English,distress,distressed,,,destressed,destresss,detresse,detresse,,,,,,,,,,,,,,,,,,,,
West African French,détresse,,,,detres,dettresse,dttress,dtrese,detrres,detrresse,,,,,,,,,,,,,,,,,,
English,sad,saddened,,,sadd,saddenned,sadend,,,,,,,,,,,,,,,,,,,,,
West African French,triste,attristé,,attristée,trist,atristé,atristte,atrisste,trste,attristee,attriste,,,,,,,,,,,,,,,,,
English,scare ,scared,,,csared,csare,,,,,,,,,,,,,,,,,,,,,,
West African French,effrayer,effrayé,,effrayée,effraier,efrayer,efraye,fraye,effrayee,effraye,,,,,,,,,,,,,,,,,,
English,afraid,,,,afaid,,,,,,,,,,,,,,,,,,,,,,,
West African French,effrayé,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,worried,,,,woried,,,,,,,,,,,,,,,,,,,,,,,
West African French,inquiet,,,,inkie,inkiet,inqiet,,,,,,,,,,,,,,,,,,,,,
English,fear,frighten,,,fer,fire,,,,,,,,,,,,,,,,,,,,,,
West African French,peur,effrayer,,,peurr,peurre,reup,perr,,,,,,,,,,,,,,,,,,,,
English,panic,panicking,panicked,,panik,paniked,paniking,,,,,,,,,,,,,,,,,,,,,
West African French,panique,panique,paniqué,paniquée,panik,panike ,panique,paniquee,,,,,,,,,,,,,,,,,,,,
English,mad,,,,md,made,,,,,,,,,,,,,,,,,,,,,,
West African French,fou,folle,,,fouu,foou,ouf,,,,,,,,,,,,,,,,,,,,,
English,grief,,,,greif,griev,,,,,,,,,,,,,,,,,,,,,,
West African French,douleur,,,,douler,duleur,doleur,doulur,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
